record_id,question,anchor,type,nbme_cat,topic,student_assessment_shelf_complete,shelf_image
mxadol_1DBDi84CfR,"A 16 year old boy with a history of cystic fibrosis (CF) presents to clinic for a routine follow-up. Over the past 6 months, his pulmonary function tests have declined, and he has had two hospitalizations for pulmonary exacerbations. During today's visit, he appears withdrawn and reluctant to answer questions. After his parent leaves the room, he confides in you that he has not been adhering to his airway clearance routine or taking his pancreatic enzyme supplements regularly. He states that he is overwhelmed with his regimen and does not want his parents to know because he fears disappointing them. He otherwise feels safe at home and denies any abuse, self-harm, or suicidal ideation. You discuss the importance of adherence and explore potential supports. He firmly asks you not to disclose this to his parents. His parent later asks whether everything is going well with his treatment adherence. You recognize this as a critical moment to balance adolescent confidentiality with effective care coordination.","Which of the following is the best management option in approaching the patient's request for confidentiality about his lack of adherence to CF treatment?",4,17,"cystic fibrosis adherence and adolescent confidentiality",2,
mxadol_1sDA9zLWJ0,"A 19 year old sexually active male presents to the clinic with a 5-day history of worsening pain in his groin and a penile ulcer. He reports unprotected intercourse with a new partner two weeks ago. He describes the lesion as starting as a small red bump that rapidly enlarged, ulcerated, and became painful. On review of systems, he denies fever, dysuria, or penile discharge. Physical examination reveals a 1.5 cm ulcer with ragged, undermined edges and a grayish-yellow exudate. The base is soft to palpation and bleeds easily. Inguinal lymph nodes are enlarged and tender, with evidence of fluctuation. There is no vesicular eruption and no systemic symptoms. The clinician suspects a sexually transmitted infection and sends a swab for culture.","Which of the following best describes the Gram stain of the lesion?",1,10,"chancroid due to Haemophilus ducreyi",2,
mxadol_4p4xa6J7Lw,"A 14 year old boy presents to the emergency department with sudden-onset severe right testicular pain that began 2 hours ago. The pain started while he was sitting in class and has progressively worsened. He denies any recent trauma, dysuria, fever, or urethral discharge. He is not sexually active. On examination, he appears uncomfortable and is guarding his scrotum. The right hemiscrotum is swollen and erythematous. Palpation of the right testis elicits significant tenderness, and the testis appears to be elevated and oriented horizontally compared to the left. The left testis is normal in position and non-tender. Scrotal elevation does not relieve the pain. The cremasteric reflex is absent on the right side. There is no palpable mass or fluctuance. Doppler ultrasound is ordered emergently. Testicular torsion is the leading concern.","Which of the following historical or clinical finding is most consistent with the diagnosis of testicular torsion?",1,14,"testicular torsion",2,
mxadol_5p9UyVgWfs,"A 14 year old boy presents to his primary care physician after noticing a painless swelling in his right testicle over the past few weeks. He denies any trauma, fever, dysuria, or systemic symptoms. He is otherwise healthy and not sexually active. Physical examination reveals a firm, non-tender, 6 cm mass in the right testis that does not transilluminate. There is no overlying skin discoloration or scrotal erythema. The left testis is normal. No inguinal lymphadenopathy is noted. Pubertal development is appropriate for age. Given the findings, a testicular tumor is suspected. The physician discusses next steps with the patient and his family, emphasizing the need for prompt and accurate evaluation.","Which of the following is the most appropriate next step in management?",4,14,"testicular tumor management",2,
mxadol_5Z1j7fCjaX,"A 20 month old girl is brought to clinic for evaluation of several growths around her perineum. Her mother reports that the lesions appeared gradually over the past few weeks and seem to have increased in number. The child is otherwise healthy and fully immunized. She is not in daycare, and her development is appropriate for age. Physical examination reveals multiple flesh-colored, verrucous papules clustered around the vulva and perianal area. The lesions are non-tender and non-erythematous. There are no signs of trauma, bleeding, or bruising. Oral mucosa and the remainder of the physical exam are normal. The caregiver denies any history of skin lesions and is concerned about possible underlying causes. She mentions undergoing a procedure for a growth in her genital area while pregnant.","Which of the following is the most likely cause of the patient's condyloma?",1,16,"condyloma in toddlers",2,
mxadol_6dPKkHyplO,"A 13 year old boy is brought to clinic by his father due to concerns about recent physical changes. Over the past month, the boy has noticed tenderness beneath his left nipple and a small area of tissue fullness that has not gone away. He denies trauma, nipple discharge, or systemic symptoms. He has a history of asthma, anxiety, and obesity, and his medications include a recently increased dose of one psychiatric medication. On physical examination, he is overweight but in no acute distress. There is a 2 cm firm, mobile, nontender mass beneath the left areola without skin changes or lymphadenopathy. The right breast is normal. Testicular and pubic hair development are Tanner stage III.","Which of the following disorders is often treated with a medication that may cause this condition?",,1,"SSRI side effects in depression",2,
mxadol_8hP9Vwucyu,"An 18 year old girl presents for evaluation of missed periods. She has not menstruated in the last 6 months. She began menstruating at age 13 and previously had regular cycles. She is a competitive long-distance runner and trains 6 days per week. She follows a restrictive low-fat, high-protein diet and avoids dairy products. She denies sexual activity, pregnancy, or hormonal contraception use. She reports occasional fatigue but no dizziness or syncope. She is otherwise healthy.    Vital signs: BP 98/60 mm Hg, HR 52/min, BMI 18.2.    Laboratory evaluation reveals normal TSH, normal prolactin, and negative urine pregnancy test. Estradiol level is low, and FSH is low-normal. Physical exam shows a thin, athletic-appearing female with Tanner stage V secondary sex characteristics and no hirsutism or acne. The clinician suspects a functional hypothalamic process.","Which of the following recommendations is most appropriate for this patient?",1,5,"relative energy deficiency in sport",2,
mxadol_8KcfFnZFte,"A 15 year old girl presents to the clinic due to heavy and painful menstrual periods. She started menstruating at age 12 and has regular monthly cycles. However, over the past 6 months, her periods have become heavier and more painful, lasting 7-8 days with occasional clotting. She reports needing to change pads every 1-2 hours on the heaviest days. She also experiences lower abdominal cramping that interferes with school and sports. She is otherwise healthy, takes no medications, and is not sexually active. Vital signs and physical examination are normal. Hemoglobin is 11.4 g/dL. A urine pregnancy test is negative.","Which of the following is the most appropriate next step in management?",,5,"adolescent anovulatory bleeding and dysmenorrhea",2,
mxadol_8ReURfdhGW,"A 14-year-old girl is evaluated for a 4-week history of right lower leg pain. She recently increased her training intensity for cross-country season, running several hours daily. She denies any falls or specific trauma. Her body mass index is at the 10th percentile. She has not had her first menstrual period and reports irregular eating patterns due to concerns about weight. On physical examination, she has localized tenderness over the middle third of the tibia. A radiograph reveals a hairline cortical fracture consistent with a stress fracture.","Which of the following is a known risk factor for this injury?",1,2,"Stress fracture in adolescent athlete",2,
mxadol_8zXiNUx7BK,"A 20-year-old male college student presents to the student health clinic with a 5-day history of dysuria and scant, clear urethral discharge. He is sexually active with multiple male and female partners and inconsistently uses condoms. He denies fever, testicular pain, or penile ulcers. He has no known allergies and has never been treated for a sexually transmitted infection. Physical examination reveals mild urethral meatal erythema without inguinal lymphadenopathy or scrotal tenderness. Urine nucleic acid amplification testing (NAAT) is positive for Chlamydia trachomatis and negative for Neisseria gonorrhoeae.","What is the most appropriate next step in the treatment of this patient?",4,9,"Chlamydia treatment and STI management",2,
